Sector,Community,Population_2018,Population_2019,Lat,Long
1,Abu Hail,16905,17240,25.285718,55.329
1,Al Dhagaya,15453,15899,25.272634,55.300466
1,Al Baraha,24373,24747,25.282144,55.318292
1,Rigga Al Buteen,2766,2841,25.260219,55.318796
1,Al Khabaisi,1952,1992,25.265629,55.334682
1,Corniche Deira,1655,1735,25.287558,55.320315
1,Al Mamzar,14178,14938,25.30636,55.345373
1,Al Murar,38294,38970,25.276561,55.307594
1,Al Muraqqabat,68717,69771,25.266176,55.32261
1,Muteena,43473,46185,25.274378,55.321982
1,Al Waheda,20392,20785,25.290068,55.338621
1,Al Ras,7314,7460,25.26892,55.295205
1,Al Rigga,10279,10480,25.266243,55.311365
1,Al Sabkha,3861,3969,25.271481,55.299806
1,Ayal Nasir,18925,19280,25.273103,55.303798
1,Port Saeed,13266,13551,25.252959,55.329007
1,Hor Al Anz,81741,83187,25.277179,55.334954
1,HOR AL ANZ EAST,20847,21218,25.283709,55.35196
1,Corniche Deira,14,14,25.287558,55.320315
1,AL HAMRIYA PORT,468,481,25.299517,55.335412
1,Naif,48804,50090,25.273292,55.311007
1,Deira Island,2,2,25.305747,55.315378
1,Rigga Al Buteen,6984,7120,25.260219,55.318796
2,Al Ayas,1706,1757,25.209235,55.549878
2,Al Khawneej 1,12241,12893,25.2465401,55.48881033
2,Al Khawneej 2,3865,4523,25.22214225,55.5310521
2,Al Mizhar 1,15806,16552,25.24503375,55.44174777
2,Al Mizhar 2,10781,11317,25.25149,55.443
2,Al Garhoud,18424,18535,25.24366,55.347439
2,AL QUSAIS 1,41818,45657,25.27711,55.372704
2,AL QUSAIS 2,11442,12473,25.269667,55.387158
2,AL QUSAIS 3,6812,7162,25.262404,55.398289
2,Al Qusais Industrial Area 1,8362,9369,25.288501,55.38848
2,Al Qusais Industrial Area 2,8063,8834,25.282263,55.392783
2,Al Qusais Industrial Area 3,2559,2710,25.29842,55.390033
2,Al Qusais Industrial Area 4,2476,2709,25.29458,55.400301
2,Al Qusais Industrial Area 5,1286,1613,25.286712,55.415588
2,Al Nahda 1,29011,31449,25.292382,55.364914
2,Al Nahda 2,56489,61936,25.289114,55.377694
2,Al Rashidiya,34594,37167,25.224848,55.389405
2,Al Ttay,805,810,25.233099,55.554973
2,Al Twar 1,10957,11509,25.270851,55.361682
2,Al Twar 2,4577,4835,25.262424,55.378181
2,Al Twar 3,10217,10655,25.252221,55.394414
2,Dubai International Airport,22,22,25.25346,55.365748
2,Mirdif,60288,64355,25.219995,55.418655
2,Muhaisnah 1,7375,8091,25.242525,55.416093
2,Muhaisnah 2,197838,196316,25.261304,55.418829
2,Muhaisnah 3,6129,6493,25.271781,55.404462
2,Muhaisnah 4,32346,34947,25.27826,55.409554
2,Muhaisnah 5,2,2,25.282711,55.402092
2,Mushrif,63,67,25.208645,55.451581
2,NAD SHAMMA,2964,3124,25.217095,55.384113
2,Umm Ramool,3545,2935,25.229123,55.366922
2,Oud Al Muteena,12510,14672,25.266522,55.450975
2,Oud Al Muteena 2,5047,5506,25.264737,55.46067
2,Oud Al Muteena 3,6344,6679,25.267329,55.450298
2,Wadi Al Amardi,3193,3368,25.199739,55.479885
3,Al Bada'a,54338,56734,25.224995,55.268193
3,Al Barsha 1,35469,39451,25.111286,55.19468
3,Al Barsha 2,14815,15523,25.100175,55.213526
3,Al Barsha 3,13990,14601,25.095581,55.196543
3,Al Hamriya,33421,36738,25.260435,55.303978
3,Al Hudaiba,13034,14191,25.243427,55.280001
3,Al Jaddaf,4197,5104,25.217305,55.330353
3,Al Jaffiliya,21957,23963,25.238085,55.284548
3,AL KARAMA,70558,75066,25.249106,55.30616
3,Business Bay,19715,21179,25.184603,55.272799
3,Al Kifaf,2,2,25.235177,55.296304
3,Al Manara,7709,8271,25.141375,55.211717
3,Al Mankhool,37400,40091,25.250262,55.295694
3,AL MERKADH,819,1317,25.166684,55.285143
3,Trade Center 1,15355,16519,25.219878,55.280025
3,Trade Center 2,12155,12218,25.221916,55.283744
3,Al Quoz 1,18845,20154,25.168784,55.256724
3,Al Quoz 2,4551,5240,25.151994,55.273032
3,Al Quoz 3,40541,40553,25.158636,55.240195
3,Al Quoz 4,21788,22718,25.151756,55.252094
3,Al Quoz Industrial Area 1,26569,26075,25.145257,55.230514
3,Al Quoz Industrial Area 2,158543,159978,25.133061,55.245391
3,Al Quoz Industrial Area 3,25360,26656,25.126502,55.218084
3,Al Quoz Industrial Area 4,38280,38079,25.117537,55.234902
3,Al Wasl,11156,11555,25.199291,55.256445
3,AL RAFFA,42904,47140,25.255643,55.288011
3,Al Shindagha,2,2,25.267278,55.289403
3,Al Safa 1,7893,8514,25.179986,55.23881
3,Al Safa 2,6247,6679,25.158911,55.225474
3,Al Satwa,41048,38991,25.219145,55.272542
3,Al Sufouh 1,4112,4435,25.117883,55.184864
3,Al Sufouh 2,5592,6126,25.101685,55.163035
3,Al Souq Al Kabeer,46929,51012,25.261991,55.293812
3,Village Rabie Sahra'a,22638,24834,25.088859,55.178851
3,Jebel Ali Racecourse,115,115,25.081885,55.192021
3,Emirates Hills 2,17737,21442,25.086041,55.162557
3,Emirates Hills 3,23488,27728,25.067464,55.172832
3,Emirates Hills 1,37067,40586,25.057311,55.157449
3,Burj Khalifa,18698,20477,25.197265,55.274162
3,Jumeira Island 2,3,3,25.197507,55.225017
3,Jumeira 1,18843,20356,25.2197,55.256246
3,Jumeira 2,9380,10079,25.202078,55.245083
3,Jumeira 3,12493,13417,25.180129,55.22453
3,The World Islands,7,7,25.225894,55.178945
3,Dubai Healthcare City,14129,15172,25.23176,55.324389
3,Dubai Marina,55052,61047,25.081027,55.140318
3,Palm Jumeirah,22333,24448,25.111941,55.139549
3,Jumeirah Bay Island,39,39,25.209901,55.238595
3,Umm Al Sheif,4097,4367,25.132472,55.205302
3,Umm Hurair 1,5351,5856,25.255633,55.307792
3,Umm Hurair 2,4867,5328,25.237712,55.322774
3,Umm Suqeim 1,10867,11718,25.163376,55.217736
3,Umm Suqeim 2,11456,12325,25.149755,55.206693
3,Umm Suqeim 3,7021,7520,25.136797,55.195202
3,Oud Metha,13616,14901,25.237912,55.312114
3,Za'abeel 1,3062,3260,25.22336,55.305703
3,Za'abeel 2,7509,8102,25.209745,55.299149
4,AL KHAIRAN 1,2,587,25.185366,55.350509
4,Dubai Festival City,4641,4982,25.215152,55.361895
4,Al Warqa 1,21696,24679,25.187831,55.405643
4,Al Warqa 2,10237,10689,25.204239,55.410964
4,Al Warqa 3,14208,14728,25.189068,55.420474
4,Al Warqa 4,12910,13452,25.186221,55.440826
4,Al Warqa 5,60,60,25.18048,55.455612
4,Nadd Al Hamar,13589,14216,25.19962,55.386136
4,Ras al Khor,2,2,25.194144,55.363818
4,Wadi Al Shabak,55,55,25.165011,55.484399
5,Dubai Waterfront,4,4,24.947129,54.908949
5,Hessyan 1,3300,3492,24.947507,55.011833
5,Hessyan 2,45,45,24.935752,54.965164
5,Jebel Ali Village,69115,75287,25.029758,55.131978
5,Jabal Ali 2,1561,1570,25.053027,55.113532
5,Jabal Ali 3,1513,1513,25.027977,55.096242
5,Jebel Ali Industrial 1,129024,128975,25.001653,55.126691
5,Jebel Ali Industrial 2,23000,2462,24.964121,55.114416
5,Jebel Ali Industrial 3,2462,23000,24.946414,55.099606
5,Al Maktoum International Airport,2183,2697,24.894909,55.138748
5,Dubai Investment Park - 1,69000,69956,24.984468,55.154528
5,Dubai Investment Park - 2,59763,60630,24.974931,55.198553
5,Jebel Ali Port,28600,24487,24.995492,55.060606
5,Palm Jebel Ali,5,5,25.009184,54.987381
5,Saih Shuaib 1,9,9,24.898756,54.963297
5,Saih Shuaib 2,13665,14491,24.86183,55.036617
5,Saih Shuaib 3,11144,11144,24.844249,55.074858
5,Saih Shuaib 4,11170,11170,24.844249,55.074858
6,Al Barsha South 1,13267,13717,25.089248,55.234834
6,Al Barsha South 2,7057,7509,25.074931,55.238739
6,Al Barsha South 3,4566,6929,25.060284,55.240857
6,Al Barsha South 4,25297,25974,25.056981,55.207802
6,Al Barsha South 5,6753,7384,25.047077,55.188588
6,Motor City,9672,10598,25.04566,55.239546
6,Dubai Studio City,1032,1523,25.033133,55.246672
6,Damac Hills,6250,6845,25.023882,55.25563
6,Dubai Sports City,18789,20611,25.038622,55.217242
6,Golf City,8919,9748,25.012622,55.235071
6,Mudon,1759,2322,25.020668,55.266749
6,Bukadra,15,16,25.177932,55.326749
6,Dubai Hills - Emaar,68,1563,25.11581,55.268208
6,Me'aisem 1,17413,18002,25.016105,55.180728
6,Me'aisem 2,11,12,24.988123,55.264636
6,Nad Al Sheba 1,5485,5948,25.159109,55.307579
6,Nad Al Sheba 2,2258,2389,25.160648,55.353035
6,Nad Al Sheba 3,137,767,25.156173,55.374768
6,Nad Al Sheba 4,3505,3685,25.135694,55.367316
6,Nadd Hessa,35361,38494,25.131721,55.388446
6,Ras Al Khor Industrial Area 1,2393,2550,25.178835,55.338376
6,Ras Al Khor Industrial Area 2,2352,2514,25.178622,55.355736
6,Ras Al Khor Industrial Area 3,21500,21834,25.170993,55.383633
6,Falconcity of Wonders,9623,10519,25.09806,55.342475
6,WADI AL SAFA 3,9599,9764,25.125837,55.338624
6,Global Village,2,2,25.074888,55.31587
6,The Villa,19550,21241,25.086875,55.360194
6,Arabian Ranches,16179,18213,25.051833,55.267621
6,Dubai Lifestyle City,7740,8473,25.041992,55.282215
6,International City,97159,106072,25.165291,55.408859
6,Warsan 2,1524,1568,25.163087,55.440647
6,International City Phase(2),8359,8994,25.158376,55.464186
7,AL AWEER 1,3587,4107,25.201397,55.566779
7,AL AWEER 2,4870,5236,25.174108,55.565562
8,LE HEMAIRA,53,53,25.018611,55.472023
8,Al Maha,175,193,24.826518,55.660461
7,Al Meryal,727,754,25.068833,55.655109
7,Al Wohoosh,46,46,25.136654,55.598763
8,Al Rowaiyah 1,2923,3127,25.135354,55.44287
8,Academic City,25,25,25.112177,55.407931
8,Al Rowaiyah 3,4036,4429,25.115179,55.46104
8,Hatta,13295,14045,24.81009,56.125597
7,Enkhali,26,26,25.122039,55.55601
7,Lehbab 1,2921,3197,25.122039,55.55601
8,Lehbab 2,1363,1511,25.041202,55.592019
8,Margham,930,1005,24.89932,55.622878
8,Murqquab,570,628,24.824638,55.589854
8,Mereiyeel,1119,1119,25.096618,55.508912
7,Nazwa,504,544,25.006006,55.663064
8,Remah,232,232,24.846009,55.66168
8,Umm Al Daman,258,283,25.052077,55.4534
8,Umm Al Mo'meneen,309,309,24.995526,55.505329
8,Umm Eselay,187,204,24.861925,55.598489
8,Warsan 3,13316,13579,25.158297,55.463791
8,Yaraah,94,94,24.77768,55.652591
9,Al Fagaa,395,417,24.81005,55.540593
9,Al Hathmah,35,35,24.792895,55.42266
9,AL LAYAN 1,10,10,24.784584,55.112846
9,AL LAYAN 2,0,0,24.748357,55.137144
9,Al Lisaili,2633,2856,24.934256,55.478426
9,Al Mormoom,79,94,24.977786,55.467045
9,Al Yalayis 1,1,1114,25.010096,55.307262
9,Al Yalayis 2,217,1364,24.998527,55.290532
9,Al Yalayis 3,4,4,24.981908,55.347085
9,Al Yalayis 4,8,8,24.967846,55.319441
9,Al Yalayis 5,100,100,24.970287,55.25688
9,Al Yufrah 1,403,403,25.002824,55.437962
9,Al Yufrah 2,2,58,24.989956,55.391351
9,Al Yufrah 3,4,4,24.985862,55.365684
9,Tiger Woods Dubai,3,3,24.975054,55.397026
9,Al O'shoosh,0,0,24.646905,55.335386
9,Al Selal,660,665,24.898792,55.280947
9,Ghadeer Barashy,7,7,24.74155,55.285607
9,Hefair,0,0,24.681292,55.234626
9,Mugatrah,804,804,24.853072,55.23222
9,Grayteesah,55,55,24.874846,55.529394
9,Saih Al Danal,16,16,24.73122,55.451123
9,Saih Al Salam,589,607,24.87278,55.366166
9,Saih Shua'alah,3,3,24.662444,55.435007
9,UMM NAHAD 1,8,8,25.059466,55.378805
9,UMM NAHAD 2,2,2,25.051242,55.338086
9,UMM NAHAD 3,2329,1347,25.032623,55.397933
9,UMM NAHAD 4,4,4,25.02348,55.366492
